Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
Walsh University,OH,"Private, nonprofit",46374,
Nicholls State University,LA,Public,46355,
Regis University,CO,"Private, nonprofit",46341,
Indiana University-Kokomo,IN,Public,46136,
Fitchburg State University,MA,Public,46129,
Southeastern Louisiana University,LA,Public,46051,
Pittsburg State University,KS,Public,45940,
University of Minnesota-Crookston,MN,Public,45916,
Black Hills State University,SD,Public,45537,
Millikin University,IL,"Private, nonprofit",45444,
University of Mary,ND,"Private, nonprofit",45394,
Arkansas Tech University,AR,Public,45385,
University of South Carolina-Upstate,SC,Public,45298,
University of Southern Mississippi,MS,Public,45161,
Middle Tennessee State University,TN,Public,45155,
Waynesburg University,PA,"Private, nonprofit",45152,
Houghton University,NY,"Private, nonprofit",45134,
Centenary University,NJ,"Private, nonprofit",45098,
University of Hawaii at Manoa,HI,Public,45072,
University of Wisconsin-Superior,WI,Public,45014,
Webster University,MO,"Private, nonprofit",45012,
Emporia State University,KS,Public,45003,
Utica University,NY,"Private, nonprofit",44969,
Full Sail University,FL,"Private, for-profit",44933,
Mississippi Christian University,MS,"Private, nonprofit",44779,
Loras College,IA,"Private, nonprofit",44741,
Indiana University-South Bend,IN,Public,44703,
New Jersey City University,NJ,Public,44625,
University of Alabama at Birmingham,AL,Public,44461,
Southern Utah University,UT,Public,44461,
University of Louisiana at Lafayette,LA,Public,44432,
Seton Hall University,NJ,"Private, nonprofit",44374,
Arkansas State University,AR,Public,44327,
Saint Xavier University,IL,"Private, nonprofit",44312,
Eastern New Mexico University-Main Campus,NM,Public,44300,
Columbia College,SC,"Private, nonprofit",44280,
Colorado Christian University,CO,"Private, nonprofit",44245,
The University of Tennessee-Martin,TN,Public,44231,
Milligan University,,"Private, nonprofit",44175,
Morehead State University,KY,Public,44149,
Lee University,TN,"Private, nonprofit",44095,
University of Tulsa,OK,"Private, nonprofit",44090,
University of Louisiana at Monroe,LA,Public,43974,
Jacksonville State University,AL,Public,43769,
SUNY College at Potsdam,NY,Public,43686,
Indiana University of Pennsylvania,PA,Public,43582,
Austin Peay State University,TN,Public,43511,
Grambling State University,LA,Public,43324,
Chestnut Hill College,PA,"Private, nonprofit",43323,
Western Carolina University,NC,Public,43322,
Auburn University at Montgomery,AL,Public,43317,
University of North Carolina at Greensboro,NC,Public,43231,
North Carolina Central University,NC,Public,43230,
Calvin University,MI,"Private, nonprofit",43138,
Tennessee State University,TN,Public,43121,
Concordia University-Chicago,IL,"Private, nonprofit",43071,
Angelo State University,TX,Public,43002,
Texas A & M University-Corpus Christi,TX,Public,42921,
