Institution,State,Control,Median earnings 4 years after graduating,Cal Poly?
University of Nebraska at Kearney,NE,Public,41180,
University of Akron Main Campus,OH,Public,41158,
Saint Leo University,FL,"Private, nonprofit",41070,
SUNY at Fredonia,NY,Public,40929,
East Central University,OK,Public,40890,
University of West Georgia,GA,Public,40855,
Arcadia University,PA,"Private, nonprofit",40802,
Berea College,KY,"Private, nonprofit",40722,
Indiana State University,IN,Public,40676,
Western Kentucky University,KY,Public,40616,
Idaho State University,ID,Public,40602,
North Dakota State University-Main Campus,ND,Public,40460,
State University of New York at Oswego,NY,Public,40431,
University of New Orleans,LA,Public,40424,
Tennessee Technological University,TN,Public,40380,
University of Cincinnati-Main Campus,OH,Public,40360,
North Carolina A & T State University,NC,Public,40317,
West Virginia State University,WV,Public,40303,
Muhlenberg College,PA,"Private, nonprofit",40161,
University of Southern Indiana,IN,Public,40159,
Francis Marion University,SC,Public,40098,
Wittenberg University,OH,"Private, nonprofit",40078,
Regent University,VA,"Private, nonprofit",40012,
Massachusetts College of Liberal Arts,MA,Public,39955,
University of Hawaii at Manoa,HI,Public,39948,
Eastern Michigan University,MI,Public,39726,
Lewis & Clark College,OR,"Private, nonprofit",39705,
Metropolitan State University,MN,Public,39572,
Western Colorado University,CO,Public,39414,
Marshall University,WV,Public,39402,
Central Michigan University,MI,Public,39262,
Southeastern Louisiana University,LA,Public,39235,
University of Southern Mississippi,MS,Public,39214,
Radford University,VA,Public,39085,
Boise State University,ID,Public,39059,
University of South Carolina Aiken,SC,Public,38980,
Truman State University,MO,Public,38923,
Franciscan University of Steubenville,OH,"Private, nonprofit",38761,
Midwestern State University,TX,Public,38748,
Northeastern State University,OK,Public,38731,
Missouri State University-Springfield,MO,Public,38690,
Ball State University,IN,Public,38676,
University of Hartford,CT,"Private, nonprofit",38589,
Shepherd University,WV,Public,38581,
University of Northwestern-St Paul,MN,"Private, nonprofit",38522,
Saint Cloud State University,MN,Public,38464,
University of Idaho,ID,Public,38409,
Arkansas State University,AR,Public,38366,
University of North Carolina at Greensboro,NC,Public,38366,
Southern Utah University,UT,Public,38210,
Indiana University-Indianapolis,IN,Public,38198,
Hollins University,VA,"Private, nonprofit",38172,
Purdue University Fort Wayne,IN,Public,38113,
Indiana University-East,IN,Public,38061,
Bryn Mawr College,PA,"Private, nonprofit",38040,
Texas A&M University-Central Texas,,Public,37967,
Texas A & M University-Corpus Christi,TX,Public,37846,
Pennsylvania Western University,,Public,37813,
Southern Illinois University-Carbondale,IL,Public,37786,
Coastal Carolina University,SC,Public,37707,
Muskingum University,OH,"Private, nonprofit",37439,
Harding University,AR,"Private, nonprofit",37384,
University of Alaska Anchorage,AK,Public,37326,
Grinnell College,IA,"Private, nonprofit",36854,
University of South Carolina-Upstate,SC,Public,36785,
Corban University,OR,"Private, nonprofit",36779,
Columbia College,MO,"Private, nonprofit",36714,
Lander University,SC,Public,36568,
Southeast Missouri State University,MO,Public,36356,
Kent State University at Ashtabula,OH,Public,36241,
Kent State University at East Liverpool,OH,Public,36241,
Kent State University at Stark,OH,Public,36241,
Kent State University at Trumbull,OH,Public,36241,
Kent State University at Tuscarawas,OH,Public,36241,
Kent State University at Salem,OH,Public,36241,
Kent State University at Kent,OH,Public,36241,
Kent State University at Geauga,OH,Public,36241,
Brigham Young University-Idaho,ID,"Private, nonprofit",36173,
University of Maine at Farmington,ME,Public,35998,
University of Puerto Rico-Mayaguez,PR,Public,35933,
Morehead State University,KY,Public,35895,
Mississippi State University,MS,Public,35877,
University of Montevallo,AL,Public,35858,
Drury University,MO,"Private, nonprofit",35543,
Drury University-College of Continuing Professional Studies,,"Private, nonprofit",35543,
Eastern Kentucky University,KY,Public,35203,
University of Wisconsin-Parkside,WI,Public,34689,
Purdue University Northwest,,Public,34560,
University of North Carolina Asheville,NC,Public,33714,
University of West Florida,FL,Public,33671,
Southern Virginia University,VA,"Private, nonprofit",33115,
Point Park University,PA,"Private, nonprofit",32822,
New Mexico State University-Main Campus,NM,Public,32767,
Washburn University,KS,Public,32760,
University of South Dakota,SD,Public,31155,
Clayton  State University,GA,Public,31053,
Indiana University-Northwest,IN,Public,29768,
